,timestamp,sog,cog
698,1657865147.3578851,7.2,329.8
699,1657865147.627855,,
700,1657865148.3588352,7.2,329.7
701,1657865148.6289449,,
702,1657865149.3588543,7.2,329.3
703,1657865149.628794,,
704,1657865150.3591542,7.2,329.4
705,1657865150.629287,,
706,1657865151.358954,7.2,329.4
707,1657865151.6289122,,
708,1657865152.3579237,7.2,329.3
709,1657865152.628053,,
710,1657865153.359186,7.2,329.2
711,1657865153.6292057,,
712,1657865154.3592618,7.2,329.2
713,1657865154.6293724,,
714,1657865155.358699,7.2,329.2
715,1657865155.6289318,,
716,1657865156.3594444,7.2,329.2
717,1657865156.6297112,,
718,1657865157.3583193,7.2,329.3
719,1657865157.628521,,
720,1657865158.3591833,7.2,329.5
721,1657865158.629253,,
722,1657865159.359546,7.2,329.7
723,1657865159.6298347,,
724,1657865160.3591168,7.2,329.7
725,1657865160.6292365,,
726,1657865161.3589864,7.2,329.5
727,1657865161.6287098,,
728,1657865162.3587165,7.3,329.1
729,1657865162.629016,,
730,1657865163.359405,7.2,329.0
731,1657865163.6295485,,
732,1657865164.3571696,7.3,328.5
733,1657865164.627156,,
734,1657865165.3591151,7.2,327.8
735,1657865165.629252,,
736,1657865166.3594434,7.2,327.3
737,1657865166.629558,,
738,1657865167.3591473,7.2,326.8
739,1657865167.62925,,
740,1657865168.359214,7.2,326.1
741,1657865168.6293378,,
742,1657865169.3594525,7.2,325.7
743,1657865169.6294909,,
744,1657865170.3594508,7.2,325.1
745,1657865170.6294594,,
746,1657865171.3562992,7.2,324.4
747,1657865171.6263354,,
748,1657865172.3590655,7.2,324.1
749,1657865172.6292,,
750,1657865173.3600051,7.2,323.6
751,1657865173.6299736,,
752,1657865174.359179,7.1,323.5
753,1657865174.629311,,
754,1657865175.359231,7.2,323.2
755,1657865175.6292245,,
756,1657865176.3569634,7.2,323.1
757,1657865176.627047,,
758,1657865177.3554208,7.2,323.2
759,1657865177.6255226,,
760,1657865178.3580904,7.2,323.3
761,1657865178.6281598,,
762,1657865179.359313,7.2,323.3
763,1657865179.629365,,
764,1657865180.3591383,7.2,323.5
765,1657865180.6291525,,
766,1657865181.3591447,7.2,323.6
767,1657865181.6292613,,
768,1657865182.35934,7.2,324.0
769,1657865182.6293478,,
770,1657865183.3592107,7.2,324.1
771,1657865183.6294074,,
772,1657865184.3592973,7.2,324.5
773,1657865184.6290307,,
774,1657865185.359238,7.2,324.8
775,1657865185.629487,,
776,1657865186.3577538,7.2,325.0
777,1657865186.627849,,
778,1657865187.3580835,7.2,325.5
779,1657865187.6280363,,
780,1657865188.3596802,7.2,325.7
781,1657865188.6296122,,
782,1657865189.356311,7.2,325.8
783,1657865189.6262639,,
784,1657865190.3592594,7.2,326.1
785,1657865190.6291203,,
786,1657865191.35644,7.2,326.2
787,1657865191.626225,,
788,1657865192.3570158,7.2,326.3
789,1657865192.6268976,,
790,1657865193.359239,7.2,326.7
791,1657865193.6290867,,
792,1657865194.3562772,7.2,327.0
793,1657865194.6262078,,
794,1657865195.360866,7.2,327.4
795,1657865195.6309378,,
796,1657865196.3595088,7.2,327.3
797,1657865196.6295207,,
798,1657865197.3594058,7.3,327.2
799,1657865197.6294248,,
800,1657865198.3569677,7.3,327.2
801,1657865198.6269712,,
802,1657865199.3597102,7.2,326.7
803,1657865199.6296792,,
804,1657865200.359293,7.2,326.3
805,1657865200.6294968,,
806,1657865201.358728,7.2,326.0
807,1657865201.628681,,
808,1657865202.3577762,7.2,325.7
809,1657865202.6278553,,
810,1657865203.3564043,7.2,325.4
811,1657865203.6265361,,
812,1657865204.359809,7.2,324.8
813,1657865204.629904,,
814,1657865205.3588274,7.2,324.4
815,1657865205.628833,,
816,1657865206.3593738,7.2,324.0
817,1657865206.6293125,,
818,1657865207.359238,7.2,323.7
819,1657865207.6289907,,
820,1657865208.35937,7.2,323.6
821,1657865208.6293237,,
822,1657865209.3580327,7.2,323.7
823,1657865209.6279252,,
824,1657865210.3567061,7.2,323.9
825,1657865210.6266098,,
826,1657865211.3597112,7.2,324.3
827,1657865211.62955,,
828,1657865212.3593688,7.2,324.6
829,1657865212.629168,,
830,1657865213.3599524,7.2,324.8
831,1657865213.6298306,,
832,1657865214.3575997,7.2,324.9
833,1657865214.6272933,,
834,1657865215.3569446,7.2,324.9
835,1657865215.6269052,,
836,1657865216.3592854,7.2,325.0
837,1657865216.6292138,,
838,1657865217.359447,7.2,325.0
839,1657865217.629325,,
840,1657865218.3567119,7.3,324.9
841,1657865218.6266158,,
842,1657865219.3585718,7.2,324.8
843,1657865219.6283329,,
844,1657865220.3593416,7.3,324.5
845,1657865220.6293056,,
846,1657865221.356908,7.2,324.2
847,1657865221.6269221,,
848,1657865222.3562958,7.2,323.7
849,1657865222.6262054,,
850,1657865223.3610325,7.2,323.3
851,1657865223.6309311,,
852,1657865224.3575506,7.2,323.1
853,1657865224.6272058,,
854,1657865225.3562257,7.2,323.1
855,1657865225.6260839,,
856,1657865226.3596709,7.2,323.1
857,1657865226.6294992,,
858,1657865227.3591888,7.2,323.1
859,1657865227.6289814,,
860,1657865228.3591006,7.2,323.3
861,1657865228.6288123,,
862,1657865229.359588,7.2,323.4
863,1657865229.6293163,,
864,1657865230.3583121,7.2,323.5
865,1657865230.6280246,,
